household_id,camp_name,family_size,head_gender,head_age_group,food_insecurity_score,shelter_damage_score,chronic_disease_present,vulnerability_index
HH_00027,Camp Beta,10,Female,51-65,0.61,0.89,0,0.61
HH_00028,Camp Gamma,3,Male,26-35,0.25,0.63,0,0.32
HH_00029,Camp Gamma,3,Male,26-35,0.73,0.7,0,0.53
HH_00030,Camp Alpha,8,Female,36-50,0.61,0.61,1,0.71
HH_00031,Camp Gamma,9,Female,36-50,0.18,0.44,0,0.29
HH_00032,Camp Beta,9,Female,26-35,0.64,0.77,1,0.78
HH_00033,Camp Beta,6,Male,18-25,0.4,0.75,0,0.45
HH_00034,Camp Beta,10,Male,18-25,0.65,0.41,0,0.48
HH_00035,Camp Gamma,9,Male,51-65,0.4,0.47,0,0.39
HH_00036,Camp Gamma,9,Female,26-35,0.37,0.54,1,0.6
HH_00037,Camp Beta,5,Male,51-65,0.67,0.72,0,0.53
HH_00038,Camp Alpha,1,Male,26-35,0.82,0.27,1,0.62
HH_00039,Camp Beta,2,Male,51-65,0.51,0.55,0,0.39
HH_00040,Camp Alpha,10,Male,26-35,0.69,0.69,0,0.58
HH_00041,Camp Beta,3,Female,36-50,0.59,0.6,1,0.65
HH_00042,Camp Beta,4,Male,36-50,0.51,0.84,0,0.5
HH_00043,Camp Beta,9,Female,51-65,0.21,0.8,1,0.61
HH_00044,Camp Alpha,7,Male,26-35,0.72,0.36,0,0.47
HH_00045,Camp Alpha,4,Female,36-50,0.73,0.51,0,0.48
HH_00046,Camp Gamma,9,Female,18-25,0.48,0.76,0,0.51
HH_00047,Camp Gamma,1,Female,51-65,0.29,0.61,1,0.51
HH_00048,Camp Gamma,7,Female,36-50,0.61,0.34,1,0.62
HH_00049,Camp Alpha,5,Male,36-50,0.64,0.17,1,0.56
HH_00050,Camp Alpha,5,Male,51-65,0.75,0.28,0,0.43
HH_00051,Camp Gamma,5,Female,26-35,0.46,0.6,1,0.61
HH_00052,Camp Gamma,8,Male,26-35,0.45,0.35,1,0.57
HH_00053,Camp Gamma,8,Female,51-65,0.63,0.46,0,0.47
HH_00054,Camp Gamma,9,Female,18-25,0.41,0.39,0,0.37
HH_00055,Camp Beta,2,Female,36-50,0.65,0.88,0,0.54
HH_00056,Camp Gamma,5,Female,26-35,0.58,0.73,0,0.5
HH_00057,Camp Beta,6,Male,36-50,0.5,0.69,0,0.47
HH_00058,Camp Alpha,4,Male,26-35,0.61,0.64,0,0.48
HH_00059,Camp Alpha,8,Female,51-65,0.95,0.2,0,0.52
HH_00060,Camp Gamma,9,Female,26-35,0.79,0.65,1,0.8
HH_00061,Camp Gamma,2,Female,36-50,0.32,0.21,0,0.21
HH_00062,Camp Alpha,4,Female,26-35,0.72,0.24,0,0.4
HH_00063,Camp Beta,8,Male,26-35,0.49,0.84,0,0.53
HH_00064,Camp Beta,1,Male,36-50,0.35,0.65,0,0.34
HH_00065,Camp Gamma,3,Male,51-65,0.51,0.57,0,0.41
HH_00066,Camp Beta,9,Female,26-35,0.11,0.51,1,0.49
HH_00067,Camp Alpha,7,Other,51-65,0.96,0.22,0,0.52
HH_00068,Camp Beta,2,Male,26-35,0.55,0.8,0,0.48
HH_00069,Camp Alpha,3,Female,18-25,0.69,0.24,0,0.38
HH_00070,Camp Beta,10,Female,65+,0.15,0.83,1,0.61
HH_00071,Camp Beta,2,Male,36-50,0.35,0.88,1,0.62
HH_00072,Camp Alpha,4,Female,18-25,0.76,0.41,0,0.47
HH_00073,Camp Gamma,2,Female,36-50,0.41,0.1,0,0.21
HH_00074,Camp Alpha,1,Other,51-65,0.57,0.11,0,0.27
HH_00075,Camp Beta,10,Female,26-35,0.4,0.68,0,0.46
HH_00076,Camp Alpha,7,Female,26-35,0.73,0.39,0,0.48
HH_00077,Camp Gamma,1,Male,36-50,0.37,0.52,0,0.31
HH_00078,Camp Beta,2,Male,26-35,0.69,0.68,0,0.5
HH_00079,Camp Gamma,10,Male,36-50,0.57,0.28,0,0.41
HH_00080,Camp Alpha,2,Male,26-35,0.75,0.59,0,0.5
HH_00081,Camp Beta,8,Male,26-35,0.31,0.64,0,0.4
HH_00082,Camp Alpha,4,Female,36-50,0.75,0.04,0,0.35
HH_00083,Camp Gamma,9,Male,51-65,0.05,0.43,1,0.44
HH_00084,Camp Alpha,6,Female,51-65,0.77,0.12,0,0.4
HH_00085,Camp Gamma,6,Female,36-50,0.13,0.79,1,0.55
HH_00086,Camp Alpha,10,Female,36-50,0.44,0.26,0,0.35
HH_00087,Camp Gamma,6,Male,36-50,0.21,0.39,0,0.26
HH_00088,Camp Alpha,6,Male,18-25,0.78,0.19,0,0.43
HH_00089,Camp Gamma,4,Female,26-35,0.2,0.62,0,0.31
HH_00090,Camp Gamma,10,Female,26-35,0.34,0.86,0,0.49
HH_00091,Camp Beta,5,Male,36-50,0.73,0.69,0,0.55
HH_00092,Camp Beta,9,Female,36-50,0.44,0.73,0,0.49
HH_00093,Camp Beta,5,Female,26-35,0.53,0.38,1,0.58
HH_00094,Camp Beta,10,Female,26-35,0.19,0.69,1,0.58
HH_00095,Camp Beta,10,Female,36-50,0.48,0.8,0,0.53
HH_00096,Camp Beta,5,Male,36-50,0.52,0.74,1,0.68
HH_00097,Camp Alpha,5,Female,36-50,0.63,0.28,1,0.59
HH_00098,Camp Alpha,1,Female,18-25,0.58,0.36,0,0.35
HH_00099,Camp Gamma,9,Female,36-50,0.36,0.38,0,0.35
HH_00100,Camp Gamma,9,Male,36-50,0.48,0.37,1,0.59
HH_00101,Camp Beta,1,Male,65+,0.48,0.87,0,0.46
HH_00102,Camp Gamma,3,Male,36-50,0.16,0.11,1,0.33
HH_00103,Camp Beta,9,Female,51-65,0.36,0.62,0,0.42
HH_00104,Camp Beta,7,Female,26-35,0.39,0.63,1,0.61
HH_00105,Camp Beta,6,Female,26-35,0.26,0.61,0,0.35
HH_00106,Camp Beta,5,Male,36-50,0.2,0.97,0,0.42
HH_00107,Camp Beta,1,Female,26-35,0.65,0.91,0,0.54
HH_00108,Camp Beta,5,Female,18-25,0.59,0.71,0,0.5
HH_00109,Camp Beta,4,Female,51-65,0.43,0.85,1,0.67
HH_00110,Camp Gamma,5,Male,51-65,0.47,0.65,0,0.43
HH_00111,Camp Alpha,6,Male,26-35,0.75,0.16,0,0.41
HH_00112,Camp Gamma,2,Female,26-35,0.13,0.63,1,0.46
HH_00113,Camp Gamma,1,Male,36-50,0.38,0.45,0,0.3
HH_00114,Camp Alpha,9,Male,36-50,0.68,0.44,1,0.69
HH_00115,Camp Gamma,10,Female,26-35,0.79,0.61,0,0.6
HH_00116,Camp Beta,5,Female,36-50,0.27,0.73,0,0.38
HH_00117,Camp Beta,3,Male,36-50,0.38,0.68,0,0.39
HH_00118,Camp Beta,10,Male,26-35,0.27,0.79,1,0.64
HH_00119,Camp Gamma,6,Female,26-35,0.38,0.36,1,0.52
HH_00120,Camp Alpha,10,Male,26-35,0.67,0.46,1,0.71
HH_00121,Camp Beta,6,Male,26-35,0.28,0.34,1,0.47
HH_00122,Camp Gamma,3,Female,36-50,0.14,0.41,1,0.41
HH_00123,Camp Alpha,6,Female,18-25,0.39,0.43,0,0.35
HH_00124,Camp Gamma,10,Female,18-25,0.29,0.57,0,0.39
HH_00125,Camp Alpha,1,Female,26-35,0.69,0.21,0,0.35
HH_00126,Camp Gamma,6,Other,26-35,0.35,0.32,0,0.3
HH_00127,Camp Beta,10,Female,65+,0.15,0.73,0,0.38
HH_00128,Camp Gamma,5,Female,36-50,0.47,0.43,0,0.37
HH_00129,Camp Gamma,8,Female,51-65,0.37,0.86,1,0.69
HH_00130,Camp Alpha,1,Female,26-35,0.87,0.37,0,0.47
HH_00131,Camp Beta,6,Female,18-25,0.67,0.97,0,0.62
HH_00132,Camp Alpha,5,Male,18-25,0.74,0.23,0,0.41
HH_00133,Camp Alpha,1,Male,36-50,0.87,0.58,0,0.53
HH_00134,Camp Alpha,3,Female,51-65,0.78,0.36,0,0.45
HH_00135,Camp Beta,5,Female,36-50,0.59,0.83,0,0.54
HH_00136,Camp Beta,3,Female,65+,0.2,0.7,0,0.32
HH_00137,Camp Alpha,9,Female,36-50,0.84,0.42,0,0.55
HH_00138,Camp Alpha,4,Male,26-35,0.54,0.38,0,0.37
HH_00139,Camp Alpha,4,Male,18-25,0.9,0.04,0,0.41
HH_00140,Camp Gamma,7,Female,51-65,0.43,0.51,0,0.4
HH_00141,Camp Alpha,4,Male,36-50,0.82,0.37,0,0.48
HH_00142,Camp Alpha,7,Male,51-65,0.54,0.06,0,0.3
HH_00143,Camp Alpha,9,Other,26-35,0.47,0.37,0,0.39
HH_00144,Camp Gamma,3,Male,26-35,0.27,0.52,0,0.29
HH_00145,Camp Alpha,5,Male,18-25,0.74,0.38,1,0.66
HH_00146,Camp Beta,6,Female,36-50,0.23,0.79,0,0.39
HH_00147,Camp Beta,5,Other,18-25,0.84,0.7,0,0.6
HH_00148,Camp Gamma,6,Male,26-35,0.53,0.32,0,0.37
HH_00149,Camp Beta,1,Male,26-35,0.28,0.49,0,0.27
HH_00150,Camp Gamma,6,Female,51-65,0.3,0.85,0,0.43
HH_00151,Camp Gamma,1,Male,26-35,0.35,0.56,0,0.32
HH_00152,Camp Alpha,1,Female,26-35,0.64,0.17,0,0.32
HH_00153,Camp Beta,5,Male,18-25,0.38,0.64,0,0.39
HH_00154,Camp Gamma,1,Male,18-25,0.71,0.7,0,0.5
HH_00155,Camp Gamma,5,Male,36-50,0.12,0.44,1,0.43
HH_00156,Camp Alpha,10,Female,51-65,0.76,0.09,0,0.43
HH_00157,Camp Alpha,2,Female,51-65,0.78,0.23,1,0.6
HH_00158,Camp Gamma,5,Male,36-50,0.1,0.7,1,0.5
HH_00159,Camp Alpha,2,Female,26-35,0.96,0.12,0,0.44
HH_00160,Camp Beta,2,Male,36-50,0.59,0.85,0,0.51
HH_00161,Camp Alpha,6,Female,26-35,0.87,0.24,0,0.48
HH_00162,Camp Beta,8,Female,51-65,0.77,0.6,0,0.57
HH_00163,Camp Alpha,6,Female,51-65,0.65,0.29,0,0.41
HH_00164,Camp Gamma,4,Female,26-35,0.37,0.62,0,0.37
HH_00165,Camp Beta,2,Female,36-50,0.25,0.54,0,0.28
HH_00166,Camp Alpha,4,Male,26-35,0.79,0.03,0,0.37
HH_00167,Camp Gamma,4,Female,26-35,0.57,0.68,1,0.67
HH_00168,Camp Beta,6,Female,26-35,0.44,0.47,0,0.38
HH_00169,Camp Alpha,4,Female,36-50,0.68,0.3,0,0.4
HH_00170,Camp Alpha,8,Male,26-35,0.64,0.1,0,0.37
HH_00171,Camp Beta,9,Other,26-35,0.57,0.65,0,0.51
HH_00172,Camp Gamma,2,Male,26-35,0.3,0.42,0,0.27
HH_00173,Camp Gamma,3,Male,26-35,0.2,0.31,0,0.2
HH_00174,Camp Beta,8,Female,36-50,0.19,0.77,0,0.39
HH_00175,Camp Beta,9,Male,26-35,0.39,0.72,0,0.46
HH_00176,Camp Beta,2,Male,26-35,0.64,0.91,1,0.75
HH_00177,Camp Alpha,10,Female,26-35,0.61,0.32,0,0.44
HH_00178,Camp Alpha,5,Male,18-25,0.63,0.35,0,0.41
HH_00179,Camp Gamma,2,Female,36-50,0.54,0.44,0,0.37
HH_00180,Camp Beta,4,Other,51-65,0.51,0.44,0,0.38
HH_00181,Camp Alpha,2,Male,51-65,0.63,0.72,1,0.69
HH_00182,Camp Gamma,3,Female,36-50,0.57,0.52,0,0.41
HH_00183,Camp Beta,1,Female,26-35,0.18,0.74,0,0.3
HH_00184,Camp Alpha,3,Female,36-50,0.81,0.39,0,0.47
HH_00185,Camp Alpha,3,Male,36-50,0.77,0.18,0,0.39
HH_00186,Camp Gamma,1,Male,36-50,0.29,0.2,0,0.19
HH_00187,Camp Alpha,4,Female,36-50,0.89,0.27,0,0.48
HH_00188,Camp Alpha,1,Male,18-25,0.73,0.48,0,0.45
HH_00189,Camp Alpha,5,Female,18-25,0.94,0.28,0,0.51
HH_00190,Camp Beta,4,Female,18-25,0.36,0.93,0,0.46
HH_00191,Camp Alpha,8,Other,36-50,0.91,0.81,0,0.69
HH_00192,Camp Alpha,5,Male,36-50,0.6,0.4,0,0.41
HH_00193,Camp Gamma,2,Female,36-50,0.16,0.2,0,0.14
HH_00194,Camp Gamma,7,Female,26-35,0.8,0.21,0,0.45
HH_00195,Camp Beta,5,Male,26-35,0.24,0.9,0,0.42
HH_00196,Camp Alpha,9,Male,26-35,0.39,0.3,0,0.34
HH_00197,Camp Alpha,7,Female,18-25,0.42,0.09,0,0.27
HH_00198,Camp Alpha,5,Female,26-35,0.69,0.26,0,0.4
HH_00199,Camp Alpha,2,Female,26-35,0.78,0.09,0,0.36
HH_00200,Camp Alpha,4,Male,26-35,0.62,0.41,0,0.41
HH_00201,Camp Alpha,2,Female,51-65,0.93,0.2,0,0.45
HH_00202,Camp Alpha,1,Other,26-35,0.92,0.45,0,0.51
HH_00203,Camp Alpha,5,Female,51-65,0.61,0.45,1,0.63
HH_00204,Camp Alpha,9,Female,65+,0.78,0.32,0,0.5
HH_00205,Camp Beta,3,Female,36-50,0.18,0.7,1,0.51
HH_00206,Camp Alpha,4,Female,51-65,0.86,0.27,1,0.67
HH_00207,Camp Gamma,6,Male,36-50,0.44,0.63,0,0.42
HH_00208,Camp Alpha,6,Male,26-35,0.52,0.31,0,0.36
HH_00209,Camp Gamma,7,Male,26-35,0.22,0.65,0,0.35
HH_00210,Camp Gamma,6,Female,36-50,0.16,0.88,0,0.39
HH_00211,Camp Gamma,4,Male,18-25,0.67,0.34,1,0.61
HH_00212,Camp Alpha,5,Female,36-50,0.7,0.16,0,0.38
HH_00213,Camp Gamma,4,Female,18-25,0.57,0.42,1,0.59
HH_00214,Camp Gamma,10,Male,36-50,0.32,0.2,0,0.29
HH_00215,Camp Gamma,5,Female,18-25,0.35,0.67,1,0.59
HH_00216,Camp Gamma,5,Other,26-35,0.18,0.44,0,0.25
HH_00217,Camp Alpha,8,Female,26-35,0.6,0.4,0,0.44
HH_00218,Camp Alpha,7,Male,26-35,0.74,0.15,0,0.41
HH_00219,Camp Gamma,10,Male,36-50,0.3,0.13,1,0.46
HH_00220,Camp Beta,9,Female,26-35,0.19,0.81,1,0.61
HH_00221,Camp Gamma,10,Male,51-65,0.15,0.47,1,0.5
HH_00222,Camp Beta,7,Female,36-50,0.15,0.6,0,0.31
HH_00223,Camp Gamma,2,Other,26-35,0.19,0.81,0,0.34
HH_00224,Camp Beta,8,Male,51-65,0.74,0.52,1,0.73
HH_00225,Camp Alpha,4,Male,26-35,0.59,0.45,1,0.61
HH_00226,Camp Beta,8,Male,26-35,0.69,0.78,0,0.59
HH_00227,Camp Alpha,10,Male,26-35,0.78,0.3,1,0.7
HH_00228,Camp Alpha,4,Female,51-65,0.58,0.3,0,0.36
HH_00229,Camp Gamma,7,Male,18-25,0.59,0.66,1,0.7
HH_00230,Camp Beta,5,Male,65+,0.49,0.36,0,0.35
HH_00231,Camp Alpha,1,Male,65+,0.7,0.52,0,0.45
HH_00232,Camp Gamma,8,Male,36-50,0.24,0.55,0,0.34
HH_00233,Camp Alpha,6,Male,26-35,0.67,0.24,1,0.6
HH_00234,Camp Gamma,10,Male,36-50,0.6,0.76,0,0.57
HH_00235,Camp Beta,1,Female,26-35,0.45,0.81,0,0.43
HH_00236,Camp Alpha,9,Female,26-35,0.86,0.24,1,0.71
HH_00237,Camp Alpha,5,Male,26-35,0.75,0.12,1,0.59
HH_00238,Camp Beta,1,Female,36-50,0.22,0.94,0,0.38
HH_00239,Camp Gamma,10,Female,65+,0.85,0.44,1,0.77
HH_00240,Camp Gamma,1,Female,36-50,0.45,0.79,1,0.63
HH_00241,Camp Alpha,5,Male,65+,0.84,0.43,0,0.52
HH_00242,Camp Alpha,9,Female,36-50,0.85,0.12,0,0.47
HH_00243,Camp Beta,6,Female,18-25,0.57,0.91,0,0.56
HH_00244,Camp Beta,3,Female,26-35,0.34,0.87,0,0.43
HH_00245,Camp Alpha,2,Female,36-50,0.9,0.18,0,0.43
HH_00246,Camp Alpha,8,Male,18-25,0.8,0.31,0,0.49
HH_00247,Camp Gamma,6,Female,36-50,0.36,0.75,0,0.43
HH_00248,Camp Gamma,1,Female,51-65,0.4,0.69,0,0.38
HH_00249,Camp Gamma,7,Female,26-35,0.4,0.48,1,0.57
HH_00250,Camp Beta,1,Male,18-25,0.18,0.67,0,0.28
HH_00251,Camp Alpha,4,Male,26-35,0.69,0.3,0,0.41
HH_00252,Camp Gamma,9,Female,18-25,0.66,0.42,1,0.68
HH_00253,Camp Gamma,10,Female,51-65,0.37,0.07,0,0.27
HH_00254,Camp Gamma,3,Male,26-35,0.58,0.38,0,0.38
HH_00255,Camp Beta,5,Female,18-25,0.3,0.7,0,0.38
HH_00256,Camp Alpha,4,Male,26-35,0.56,0.11,0,0.3
HH_00257,Camp Beta,9,Female,51-65,0.52,0.88,0,0.56
HH_00258,Camp Gamma,5,Female,36-50,0.28,0.46,0,0.3
HH_00259,Camp Gamma,5,Male,18-25,0.22,0.41,0,0.26
HH_00260,Camp Alpha,6,Male,36-50,0.87,0.14,0,0.45
HH_00261,Camp Gamma,5,Female,36-50,0.19,0.63,0,0.32
HH_00262,Camp Gamma,5,Female,36-50,0.4,0.34,0,0.31
HH_00263,Camp Alpha,6,Female,26-35,0.81,0.2,1,0.64
HH_00264,Camp Gamma,6,Female,51-65,0.55,0.27,0,0.36
HH_00265,Camp Gamma,8,Female,26-35,0.74,0.66,1,0.77
HH_00266,Camp Gamma,7,Male,26-35,0.51,0.34,0,0.38
HH_00267,Camp Beta,7,Female,36-50,0.34,0.65,0,0.4
HH_00268,Camp Alpha,6,Male,18-25,0.94,0.22,0,0.5
HH_00269,Camp Alpha,7,Male,51-65,0.75,0.72,1,0.79
HH_00270,Camp Alpha,1,Male,26-35,0.85,0.25,1,0.62
HH_00271,Camp Alpha,4,Male,26-35,0.52,0.41,1,0.57
HH_00272,Camp Gamma,2,Female,26-35,0.51,0.65,0,0.42
HH_00273,Camp Beta,10,Male,36-50,0.17,0.47,0,0.31
HH_00274,Camp Beta,6,Female,36-50,0.35,0.76,0,0.43
HH_00275,Camp Alpha,2,Male,51-65,0.71,0.17,1,0.55
HH_00276,Camp Beta,4,Male,36-50,0.48,0.85,0,0.49
HH_00277,Camp Alpha,8,Male,18-25,0.87,0.28,0,0.51
HH_00278,Camp Alpha,1,Other,26-35,0.57,0.27,0,0.32
HH_00279,Camp Gamma,2,Female,26-35,0.32,0.73,1,0.57
HH_00280,Camp Gamma,5,Female,26-35,0.54,0.66,1,0.66
HH_00281,Camp Alpha,7,Female,18-25,0.67,0.4,0,0.46
HH_00282,Camp Gamma,10,Male,51-65,0.49,0.53,0,0.45
HH_00283,Camp Alpha,10,Male,26-35,0.79,0.29,0,0.5
HH_00284,Camp Gamma,7,Male,36-50,0.19,0.75,0,0.37
HH_00285,Camp Gamma,1,Male,36-50,0.55,0.36,0,0.34
HH_00286,Camp Gamma,10,Female,18-25,0.55,0.58,1,0.69
HH_00287,Camp Beta,2,Female,36-50,0.34,0.54,0,0.32
HH_00288,Camp Beta,3,Female,36-50,0.37,0.74,0,0.4
HH_00289,Camp Gamma,3,Female,36-50,0.53,0.18,0,0.3
HH_00290,Camp Beta,10,Female,18-25,0.59,0.71,0,0.55
HH_00291,Camp Gamma,8,Female,26-35,0.59,0.67,1,0.72
HH_00292,Camp Alpha,1,Other,18-25,0.55,0.38,0,0.34
HH_00293,Camp Gamma,6,Female,51-65,0.26,0.5,1,0.51
HH_00294,Camp Gamma,5,Male,51-65,0.32,0.75,0,0.4
HH_00295,Camp Gamma,4,Male,26-35,0.24,0.29,0,0.22
HH_00296,Camp Alpha,8,Female,26-35,0.6,0.2,0,0.38
HH_00297,Camp Alpha,4,Male,51-65,0.87,0.03,0,0.4
HH_00298,Camp Gamma,5,Female,65+,0.54,0.49,0,0.41
HH_00299,Camp Alpha,8,Other,36-50,0.97,0.29,0,0.55
HH_00300,Camp Alpha,5,Female,36-50,0.82,0.29,1,0.67
HH_00301,Camp Gamma,4,Male,36-50,0.45,0.52,0,0.38
HH_00302,Camp Gamma,9,Female,26-35,0.63,0.26,0,0.42
HH_00303,Camp Gamma,5,Female,26-35,0.28,0.65,0,0.36
HH_00304,Camp Beta,2,Female,26-35,0.64,0.67,1,0.68
HH_00305,Camp Alpha,6,Female,26-35,0.57,0.3,0,0.38
HH_00306,Camp Beta,3,Female,18-25,0.75,0.93,0,0.61
HH_00307,Camp Alpha,2,Female,26-35,0.83,0.31,1,0.65
HH_00308,Camp Gamma,6,Male,26-35,0.37,0.38,0,0.32
HH_00309,Camp Gamma,10,Female,36-50,0.43,0.29,1,0.56
HH_00310,Camp Gamma,3,Female,26-35,0.26,0.86,0,0.39
HH_00311,Camp Gamma,7,Female,26-35,0.6,0.34,0,0.41
HH_00312,Camp Gamma,5,Female,36-50,0.7,0.5,1,0.68
HH_00313,Camp Alpha,9,Female,65+,0.68,0.11,0,0.4
HH_00314,Camp Gamma,1,Female,51-65,0.23,0.5,0,0.25
HH_00315,Camp Alpha,4,Female,36-50,0.73,0.18,0,0.39
HH_00316,Camp Gamma,2,Female,36-50,0.43,0.53,0,0.35
HH_00317,Camp Alpha,1,Male,36-50,0.62,0.33,0,0.36
HH_00318,Camp Alpha,1,Female,26-35,0.73,0.36,0,0.41
HH_00319,Camp Alpha,7,Female,18-25,0.59,0.11,0,0.34
HH_00320,Camp Gamma,3,Female,26-35,0.24,0.79,0,0.36
HH_00321,Camp Gamma,7,Female,36-50,0.35,0.72,0,0.43
HH_00322,Camp Beta,8,Female,36-50,0.28,0.92,1,0.67
HH_00323,Camp Gamma,7,Male,36-50,0.11,0.6,0,0.29
HH_00324,Camp Alpha,9,Male,36-50,0.58,0.4,0,0.44
HH_00325,Camp Gamma,7,Female,36-50,0.18,0.34,0,0.24
HH_00326,Camp Gamma,6,Male,36-50,0.27,0.6,1,0.55
HH_00327,Camp Beta,1,Male,51-65,0.59,0.78,0,0.48
HH_00328,Camp Gamma,4,Female,51-65,0.1,0.26,0,0.16
HH_00329,Camp Gamma,5,Female,51-65,0.23,0.63,1,0.53
HH_00330,Camp Gamma,1,Female,36-50,0.49,0.82,0,0.45
HH_00331,Camp Alpha,3,Female,26-35,0.87,0.19,0,0.44
HH_00332,Camp Beta,10,Female,36-50,0.76,0.9,0,0.67
HH_00333,Camp Beta,4,Female,36-50,0.22,0.86,0,0.39
HH_00334,Camp Alpha,1,Female,36-50,0.7,0.21,0,0.35
HH_00335,Camp Beta,9,Female,36-50,0.6,0.9,0,0.6
HH_00336,Camp Gamma,5,Female,36-50,0.06,0.89,0,0.34
HH_00337,Camp Alpha,7,Female,36-50,0.86,0.57,0,0.58
HH_00338,Camp Beta,7,Male,18-25,0.59,0.63,0,0.49
HH_00339,Camp Gamma,5,Female,26-35,0.25,0.5,0,0.3
HH_00340,Camp Beta,5,Male,26-35,0.62,0.88,0,0.56
HH_00341,Camp Alpha,7,Other,65+,0.55,0.06,0,0.31
HH_00342,Camp Beta,7,Female,36-50,0.5,0.94,0,0.55
HH_00343,Camp Gamma,10,Male,36-50,0.27,0.65,0,0.4
HH_00344,Camp Alpha,4,Female,26-35,0.87,0.22,0,0.45
HH_00345,Camp Alpha,10,Male,26-35,0.51,0.22,0,0.37
HH_00346,Camp Alpha,4,Female,26-35,0.77,0.08,0,0.37
HH_00347,Camp Beta,3,Female,36-50,0.29,0.9,0,0.42
HH_00348,Camp Gamma,9,Female,26-35,0.34,0.47,0,0.37
HH_00349,Camp Alpha,2,Female,36-50,0.64,0.3,0,0.37
HH_00350,Camp Gamma,3,Female,18-25,0.45,0.34,0,0.31
HH_00351,Camp Alpha,10,Male,26-35,0.98,0.27,0,0.57
HH_00352,Camp Alpha,1,Male,51-65,0.91,0.12,0,0.41
HH_00353,Camp Gamma,3,Other,36-50,0.22,0.61,1,0.5
HH_00354,Camp Beta,3,Female,51-65,0.47,0.83,0,0.47
HH_00355,Camp Gamma,5,Female,51-65,0.23,0.44,0,0.27
HH_00356,Camp Gamma,4,Male,65+,0.29,0.58,0,0.33
HH_00357,Camp Beta,5,Female,26-35,0.09,0.89,0,0.35
HH_00358,Camp Gamma,8,Male,36-50,0.43,0.38,0,0.37
HH_00359,Camp Gamma,5,Male,36-50,0.4,0.9,0,0.48
HH_00360,Camp Beta,7,Male,51-65,0.42,0.87,0,0.5
HH_00361,Camp Beta,4,Female,51-65,0.48,0.81,0,0.47
HH_00362,Camp Gamma,3,Female,51-65,0.34,0.32,0,0.26
HH_00363,Camp Alpha,5,Male,36-50,0.75,0.35,0,0.46
HH_00364,Camp Alpha,6,Female,26-35,0.63,0.24,0,0.38
HH_00365,Camp Beta,3,Male,51-65,0.54,0.96,1,0.73
HH_00366,Camp Beta,1,Female,26-35,0.48,0.81,0,0.45
HH_00367,Camp Gamma,2,Other,36-50,0.24,0.4,0,0.24
HH_00368,Camp Alpha,4,Female,51-65,0.81,0.25,1,0.64
HH_00369,Camp Alpha,6,Female,51-65,0.61,0.39,1,0.62
HH_00370,Camp Beta,9,Female,36-50,0.46,0.46,0,0.41
HH_00371,Camp Gamma,6,Female,26-35,0.5,0.71,0,0.47
HH_00372,Camp Beta,6,Female,36-50,0.11,0.62,0,0.29
HH_00373,Camp Alpha,4,Male,26-35,0.82,0.3,1,0.66
HH_00374,Camp Gamma,7,Male,51-65,0.11,0.65,0,0.31
HH_00375,Camp Gamma,6,Male,26-35,0.54,0.59,1,0.65
HH_00376,Camp Gamma,3,Female,18-25,0.06,0.58,0,0.23
HH_00377,Camp Beta,10,Female,36-50,0.51,0.77,0,0.54
HH_00378,Camp Beta,1,Other,36-50,0.53,0.46,1,0.56
